Player1,Player2,A_avg,B_avg,A_std,B_std
AlwaysDefect,Random,899.24,150.09,49.72004022524519,11.282814365219345
AlwaysDefect,GrimTrigger,304.15,299.15,11.722947581559852,11.722947581559852
AlwaysDefect,Mirror,301.59,296.59,12.328093932153502,12.328093932153502
AlwaysDefect,Bearer,316.44,296.44,11.770573477957647,11.770573477957647
MostlyDefect,TitForTat,467.85,463.85,26.609913566188073,26.5289935730702
MostlyDefect,TitForTwoTats,250.36,544.11,10.346516321931745,36.20687641871361
MostlyDefect,AlwaysCooperate,1378.74,177.09,57.07059137594423,24.40331739743595
MostlyDefect,MostlyCooperate,1150.68,253.33,53.55499603211637,22.45353201614392
MostlyDefect,AlwaysDefect,239.54,530.84,11.158333208862334,35.226614938140166
MostlyDefect,MostlyDefect,468.97,466.32,33.544434709799475,32.50842352375765
MostlyDefect,Random,812.07,357.72,45.73603721355841,30.063625862493698
MostlyDefect,GrimTrigger,244.98,533.78,12.150703683326329,34.50581979898464
MostlyDefect,Mirror,469.15,464.85,23.840459307655966,24.003489329678718
MostlyDefect,Bearer,291.14,528.84,21.666111787766628,29.69468639336001
Random,TitForTat,681.52,679.37,31.213292040411243,31.46002383978753
Random,TitForTwoTats,165.82,894.37,12.393853315252686,46.746476872594364
Random,AlwaysCooperate,1192.01,454.41,50.83217386655818,29.757383957599497
Random,MostlyCooperate,991.33,538.28,49.27637466372703,36.77528517904382
Random,AlwaysDefect,152.37,899.77,10.068420928824937,52.229657283960805
Random,MostlyDefect,362.42,807.32,33.991816662249754,48.23398801675018
Random,Random,668.02,672.57,40.12604640380111,44.69860288644378
Random,GrimTrigger,156.08,908.08,10.702037189245793,48.91639397993274
Random,Mirror,676.4,674.0,32.535519052260405,32.48568915691954
Random,Bearer,551.96,721.71,33.69597008545681,34.53818032265163
GrimTrigger,TitForTat,902.88,902.88,34.20242096694326,34.20242096694326
GrimTrigger,TitForTwoTats,898.41,898.41,38.69291795664938,38.69291795664938
GrimTrigger,AlwaysCooperate,900.33,900.33,35.20598102595637,35.20598102595637
GrimTrigger,MostlyCooperate,1251.09,75.29,54.82045147570385,16.97014731815844
GrimTrigger,AlwaysDefect,297.11,302.11,12.233474567758744,12.233474567758744
GrimTrigger,MostlyDefect,541.86,246.41,38.198434522896356,11.101436843940517
GrimTrigger,Random,892.83,155.93,50.075953310945565,11.34658979605767
GrimTrigger,GrimTrigger,901.47,901.47,33.71096409182033,33.71096409182033
GrimTrigger,Mirror,905.1,905.1,35.181955602268616,35.181955602268616
GrimTrigger,Bearer,898.02,898.02,36.872477540843384,36.872477540843384
Mirror,TitForTat,901.95,901.95,34.751798514609284,34.751798514609284
Mirror,TitForTwoTats,902.07,902.07,37.711073970387005,37.711073970387005
Mirror,AlwaysCooperate,906.39,906.39,34.71106307792949,34.71106307792949
Mirror,MostlyCooperate,823.62,824.67,35.29327981358491,35.31516812928972
Mirror,AlwaysDefect,299.67,304.67,11.852472315934765,11.852472315934765
Mirror,MostlyDefect,465.62,470.07,24.772880333138495,24.741162058399762
Mirror,Random,670.84,673.14,31.952690027601747,31.51539941044695
Mirror,GrimTrigger,898.5,898.5,34.47390317327007,34.47390317327007
Mirror,Mirror,898.14,898.14,35.02885096602513,35.02885096602513
Mirror,Bearer,898.08,898.08,35.50033239281007,35.50033239281007
Bearer,TitForTat,903.81,903.81,31.968952125460728,31.968952125460728
Bearer,TitForTwoTats,894.93,894.93,32.396374797189885,32.396374797189885
Bearer,AlwaysCooperate,901.11,901.11,34.022314736066974,34.022314736066974
Bearer,MostlyCooperate,848.08,786.43,37.47870862236318,36.22492374043043
Bearer,AlwaysDefect,295.79,315.79,12.62956452139186,12.62956452139186
Bearer,MostlyDefect,528.39,289.89,30.196653788126923,21.617536862464235
Bearer,Random,724.05,556.7,31.58555840886781,33.74477737369148
Bearer,GrimTrigger,902.19,902.19,37.34211965060366,37.34211965060366
Bearer,Mirror,894.93,894.93,35.828830569807884,35.828830569807884
Bearer,Bearer,893.58,893.58,32.599441713010975,32.599441713010975
